start,end,id,capacity,length,speed,startlat,startlon,endlat,endlon
96,97,356124054,7,53.768127,45,42.367054,-71.07417,42.36666,-71.074554
97,98,34079168,1,7.5,45,42.368607,-71.073906,42.36858,-71.07394
98,99,34079168,1,7.5,45,42.368507,-71.0738,42.368534,-71.07377
99,100,8616089,9,72.435616,45,42.366768,-71.079544,42.36666,-71.078674
100,101,8614838,5,39.601288,45,42.372177,-71.08006,42.37211,-71.07959
101,102,8615725,15,116.643394,45,42.369823,-71.08154,42.369633,-71.08015
102,103,185682385,1,7.5,45,42.36801,-71.07463,42.36798,-71.07457
103,104,185682385,8,64.28748,45,42.368946,-71.07275,42.36847,-71.07319
104,105,185682385,5,42.14579,45,42.36847,-71.07319,42.36868,-71.073616
105,106,185682385,3,28.276627,45,42.368477,-71.07158,42.36825,-71.07174
106,107,185682385,1,11.914419,45,42.36825,-71.07174,42.36818,-71.071846
107,108,185682385,1,10.689082,45,42.36818,-71.071846,42.368187,-71.071976
108,109,8614767,4,35.599506,45,42.366985,-71.081535,42.366932,-71.08111
109,110,8614767,1,7.5,45,42.366932,-71.08111,42.36688,-71.08109
110,111,8614767,10,80.548386,45,42.36689,-71.0806,42.36678,-71.07963
111,112,268985051,1,9.519407,45,42.368683,-71.07824,42.368767,-71.07822
114,115,8614796,42,318.90182,45,42.367725,-71.08154,42.367226,-71.07772
115,116,8615738,13,103.70643,45,42.369114,-71.08154,42.368954,-71.0803
116,117,8614821,26,198.95778,45,42.367226,-71.07772,42.36693,-71.07533
117,118,8615955,3,28.662336,45,42.370823,-71.07593,42.37063,-71.07616
118,119,8615955,2,16.515451,45,42.37063,-71.07616,42.370556,-71.07633
119,120,8615774,15,114.92582,45,42.371975,-71.07842,42.37285,-71.077675
120,121,426649111,2,18.947998,45,42.367165,-71.08154,42.36732,-71.08145
121,122,426649111,12,96.668785,45,42.36732,-71.08145,42.368023,-71.08076
122,123,426649111,5,44.632965,45,42.368023,-71.08076,42.36838,-71.08051
123,124,426649111,8,66.00225,45,42.36838,-71.08051,42.368954,-71.0803
124,125,426649111,47,355.6025,45,42.368954,-71.0803,42.37211,-71.07959
125,126,426649111,5,42.281685,45,42.37211,-71.07959,42.37245,-71.07937
127,128,268973757,32,241.30713,45,42.368572,-71.07741,42.368954,-71.0803
128,129,268974027,1,7.5,45,42.369263,-71.07725,42.369263,-71.07725
129,130,230586048,1,8.323118,45,42.36721,-71.08141,42.367226,-71.08151
130,131,230586048,1,7.737363,45,42.37169,-71.07948,42.37162,-71.0795
132,133,139184291,2,17.120987,45,42.37057,-71.076096,42.37068,-71.07595
133,134,139184291,2,15.806706,45,42.37068,-71.07595,42.370823,-71.07593
134,135,8615871,34,258.40256,45,42.371956,-71.08154,42.37155,-71.078445
135,136,8615871,2,19.44784,45,42.37155,-71.078445,42.37156,-71.07821
136,137,25590130,3,29.546013,45,42.3708,-71.07817,42.370895,-71.077835
137,138,25590130,9,70.80209,45,42.370895,-71.077835,42.370777,-71.07699
138,139,25590130,1,10.931699,45,42.370777,-71.07699,42.3707,-71.076904
139,140,25590130,1,7.5,45,42.3707,-71.076904,42.370636,-71.07692
140,141,25590130,3,27.351599,45,42.370823,-71.07593,42.37078,-71.076256
141,142,25590130,3,25.143513,45,42.37078,-71.076256,42.370853,-71.076546
142,143,25590130,12,95.31926,45,42.370853,-71.076546,42.37134,-71.0775
143,144,25590130,6,46.33581,45,42.37134,-71.0775,42.37171,-71.07776
148,149,230168907,3,24.049667,45,42.366932,-71.08111,42.367146,-71.08106
149,150,230168907,3,29.72067,45,42.367146,-71.08106,42.36721,-71.08141
171,172,281861395,2,19.503574,45,42.370556,-71.07633,42.37057,-71.076096
172,173,8615924,10,78.62963,45,42.37155,-71.078445,42.370853,-71.0786
