start,end,mph,length,capacity,ms
251,250,40,96.447685,12,18
252,251,40,71.58729,9,18
253,252,40,70.88038,9,18
253,235,40,14.344387,1,18
255,256,40,26.341295,3,18
255,252,40,80.20827,10,18
257,83,40,725.0248,96,18
258,193,40,14.3086815,1,18
259,254,40,110.96069,14,18
259,240,40,59.437412,7,18
260,261,40,78.76966,10,18
261,204,40,66.90424,8,18
261,205,40,69.99554,9,18
58,67,40,75.50249,10,18
219,260,40,28.210705,3,18
63,71,40,81.617386,10,18
