start,end,mph,length,capacity,ms
269,225,40,26.328712,3,18
229,226,40,63.324226,8,18
228,227,40,24.626436,3,18
226,228,40,61.240185,8,18
230,229,40,15.044303,2,18
267,229,40,105.738556,14,18
231,229,40,136.59729,18,18
232,230,40,156.56575,20,18
229,231,40,136.59729,18,18
233,231,40,38.863678,5,18
218,232,40,51.2899,6,18
235,234,40,73.098335,9,18
255,234,40,62.512314,8,18
236,235,40,130.38924,17,18
237,236,40,113.06513,15,18
238,237,40,59.89316,7,18
239,238,40,123.916595,16,18
240,239,40,40.17682,5,18
241,240,40,49.20493,6,18
242,241,40,26.334526,3,18
243,242,40,13.531044,1,18
244,243,40,35.10656,4,18
245,244,40,58.32238,7,18
246,245,40,40.12781,5,18
247,246,40,47.96865,6,18
248,246,40,33.247772,4,18
249,248,40,73.97395,9,18
250,249,40,47.03146,6,18
251,250,40,31.342827,4,18
252,251,40,40.121056,5,18
253,252,40,29.465305,3,18
273,252,40,12.317037,1,18
253,252,40,29.465305,3,18
256,255,40,82.7355,11,18
257,256,40,38.403496,5,18
258,257,40,28.227795,3,18
259,258,40,132.14505,17,18
260,259,40,46.456955,6,18
261,260,40,48.593056,6,18
223,260,40,27.5785,3,18
222,261,40,79.19262,10,18
263,262,40,37.65873,5,18
260,264,40,63.2092,8,18
264,265,40,96.447685,12,18
269,266,40,80.20827,10,18
265,266,40,71.58729,9,18
249,267,40,14.344387,1,18
266,267,40,70.88038,9,18
230,268,40,106.89944,14,18
267,268,40,11.354928,1,18
270,269,40,26.341295,3,18
266,269,40,80.20827,10,18
93,271,40,70.398254,9,18
205,271,40,15.217249,2,18
272,271,40,15.148766,2,18
204,272,40,14.3086815,1,18
194,272,40,107.21834,14,18
254,273,40,59.437412,7,18
268,273,40,110.96069,14,18
