Node Number,"T (7am, No carpool)","T (7am, With carpool)","T (9am, No carpool)","T (9am, With carpool)","T (11am, No carpool)","T (11am, With carpool)"
174,159.3437,159.3195,229.787,209.5319,159.35973,159.3167
175,186.153,186.442,264.485,239.231,182.776,183.355
176,185.829,186.151,263.787,238.527,182.096,182.741
177,185.246,185.628,262.533,237.272,180.874,181.639
178,183.829,184.355,259.485,234.224,177.902,178.958
179,181.681,182.207,257.337,232.105,175.754,176.81
180,181.564,182.322,255.293,229.354,173.154,174.675
181,178.0351,179.0868,253.6397,227.9526,166.6728,170.1533
182,173.5513,174.603,249.1559,223.4688,162.189,165.6695
183,168.49174,169.7543,241.851,216.5975,160.5012,163.4657
184,167.47534,168.78027,240.3766,215.2172,160.1621,163.0229
185,165.9263,167.2958,238.1385,213.1135,159.64534,162.34819
186,163.7482,165.1379,235.3807,210.8852,157.9561,160.6669
187,161.5626,162.9727,232.613,208.6493,156.261,158.9798
188,159.7532,161.1801,230.012,206.798,154.8577,157.5831
189,160.1228,161.7452,232.18,208.5427,155.3541,158.214
190,161.4374,163.0005,233.822,209.7794,156.3228,159.1378
191,166.6153,167.945,240.2766,214.6507,160.13846,162.7767
192,169.6557,170.8745,243.81089,218.15355,162.4394,164.9367
193,173.4741,174.5538,248.2236,222.5528,165.329,167.6495
194,173.7786,174.8439,248.4734,222.7931,165.6131,167.8991
195,181.105,181.885,254.597,228.721,172.571,174.156
196,179.99,180.812,250.2834,224.4074,171.615,173.28
197,179.181,180.034,247.1423,221.2752,170.92,172.645
198,176.9552,177.8926,238.5292,212.6624,169.0106,170.8971
199,167.0579,168.37082,238.5339,212.9358,160.5183,163.1243
200,166.3362,167.682,239.1881,214.028,159.93872,162.60313
201,165.3342,166.7216,238.6761,213.4455,159.194409,161.87638
202,160.1313,160.1077,229.61,209.6101,160.14543,160.1047
203,157.546,157.523,226.673,206.77,157.5598,157.52
204,153.292,153.269,222.361,202.474,153.3056,153.2659
205,152.058,152.081,220.486,199.953,151.9284,151.9698
206,149.857,149.961,217.141,195.457,149.4718,149.658
207,147.948,148.123,214.241,191.558,147.342,147.653
208,146.937,147.149,212.705,189.493,146.213,146.591
209,151.136,151.113,219.743,200.076,151.1489,151.11
210,148.283,148.26,216.719,197.133,148.296,148.257
211,146.958,146.936,213.532,194.832,146.967,146.933
212,145.979,145.962,201.996,188.322,145.967,145.958
213,141.422,141.406,197.391,183.74,141.41,141.401
214,143.079,143.185,208.272,185.22,142.702,142.889
215,141.828,141.9,201.464,183.818,141.564,141.689
216,138.84,138.825,186.921,180.241,138.825,138.82
217,136.141,136.132,183.913,177.537,136.125,136.12
